date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,campaign_period
4/13/2018,24838,2018,4,13,6,0,0,0,0,0,0,0,0,0,0,0,16,12,little_trouble,little_trouble,0,385,1
4/15/2018,29150,2018,4,15,1,0,0,0,0,0,0,0,0,0,0,0,20,8,good,good,0,627,1
4/19/2018,9415,2018,4,19,5,0,0,0,0,0,0,0,0,0,0,0,30,18,good,good,0,313,0
4/16/2018,8811,2018,4,16,2,0,0,0,0,0,0,0,0,0,0,0,22,10,good,good,0,327,0
4/21/2018,21405,2018,4,21,7,0,0,0,0,0,0,0,0,0,0,0,26,20,little_trouble,little_trouble,0,498,0
4/26/2018,9680,2018,4,26,5,0,0,0,0,0,0,0,0,0,0,0,23,14,good,good,0,315,0
4/22/2018,23918,2018,4,22,1,0,0,0,0,0,0,0,0,0,0,0,28,13,med_trouble,little_trouble,0,580,0
4/11/2018,17997,2018,4,11,4,0,0,0,0,0,0,0,0,0,0,0,27,19,little_trouble,little_trouble,0,324,1
4/18/2018,9604,2018,4,18,4,0,0,0,0,0,0,0,0,0,0,0,28,15,good,good,0,292,0
4/9/2018,17542,2018,4,9,2,0,0,0,0,0,0,0,0,0,0,0,27,14,good,good,0,313,1
4/14/2018,32943,2018,4,14,7,0,0,0,0,0,0,0,0,0,0,0,18,9,fair,good,0,535,1
4/20/2018,13880,2018,4,20,6,0,0,0,0,0,0,0,0,0,0,0,30,20,good,small_trouble,0,352,0
4/12/2018,17376,2018,4,12,5,0,0,0,0,0,0,0,0,0,0,0,25,12,little_trouble,little_trouble,0,312,1
4/10/2018,17909,2018,4,10,3,0,0,0,0,0,0,0,0,0,0,0,29,18,good,good,0,303,1
4/23/2018,8578,2018,4,23,2,0,0,0,0,0,0,0,0,0,0,0,20,13,good,fair,0,287,0
4/24/2018,8468,2018,4,24,3,0,0,0,0,0,0,0,0,0,0,0,22,14,good,good,0,290,0
4/17/2018,7532,2018,4,17,3,0,0,0,0,0,0,0,0,0,0,0,25,13,good,good,0,308,0
4/25/2018,11398,2018,4,25,4,0,0,0,0,0,0,0,0,0,0,0,22,15,fair,little_trouble,0,318,0
4/3/2018,9317,2018,4,3,3,0,0,0,0,0,0,0,0,0,0,0,30,14,fair,fair,1,335,0
4/8/2018,17430,2018,4,8,1,0,0,0,0,0,0,0,0,0,0,1,23,13,good,good,1,355,1
4/7/2018,19861,2018,4,7,7,0,0,1,0,0,0,0,0,0,0,0,18,7,good,good,1,519,0
4/2/2018,9295,2018,4,2,2,0,0,0,0,0,0,0,0,0,0,0,28,17,good,good,1,322,0
4/6/2018,20890,2018,4,6,6,0,0,1,0,0,0,0,0,0,0,0,18,4,good,good,1,576,0
4/5/2018,22373,2018,4,5,5,0,0,1,0,0,0,0,0,0,0,0,10,5,small_trouble,little_trouble,1,483,0
4/1/2018,25636,2018,4,1,1,0,0,0,0,0,0,0,0,0,0,0,27,16,little_trouble,good,1,598,0
4/4/2018,13333,2018,4,4,4,0,0,0,0,0,0,0,0,0,0,0,18,9,fair,small_trouble,1,351,0
5/1/2018,24494,2018,5,1,3,0,0,0,1,0,0,0,0,0,0,0,27,20,small_trouble,little_trouble,1,595,0
4/30/2018,28053,2018,4,30,2,0,0,0,1,0,0,0,0,0,0,0,30,21,fair,little_trouble,1,550,0
4/29/2018,21381,2018,4,29,1,0,0,0,1,0,0,0,0,0,0,0,28,19,little_trouble,good,1,536,0
4/28/2018,16134,2018,4,28,7,0,0,0,0,0,0,0,0,0,0,1,28,19,good,little_trouble,1,406,0
4/27/2018,12951,2018,4,27,6,0,0,0,0,0,0,0,0,0,0,0,27,17,good,fair,1,356,0
